,id,joined,kind,link,location,market,name,pitch,raised,size,stage,website
0,35,Oct ’13,Startup,https://angel.co/company/urx,San Francisco,Mobile Commerce,,"
The Deeplink Search Engine, For Developers (YC S13)
","$15,100,000",11-50,Acquired,urx.com
1,2288,May ’12,Startup,https://angel.co/company/ginx,Las Vegas,Mobile Commerce,*Ginx,"
Image based marketing and analytics 
","$700,000",1-10,Seed,ginxapp.com
2,11708,Sep ’11,Startup,https://angel.co/company/1-page,San Francisco,SaaS,1-Page,"
Next Generation Enterprise Recruitment Process
","$163,000,000",11-50,IPO,1-page.com
3,11471,Apr ’12,Startup,https://angel.co/company/121nexus,Cambridge,Politics,121nexus,"
The information platform for physical things.
","$794,000",1-10,-,121nexus.com
4,6887,Nov ’13,Startup,https://angel.co/company/1234enter,São Paulo,Small and Medium Businesses,1234ENTER,"
Automated digital marketing guidance for Small and Medium Businesses
","$650,267",1-10,,1234enter.com.br
5,9392,Mar ’13,Startup,https://angel.co/company/1newtrack-com,Kyivs'ka oblast,Video Streaming,1NewTrack.com,"
Discover 1 new track per day, personally selected according to your tastes
","$70,001",1-10,-,1NewTrack.com
6,13357,Oct ’12,Startup,https://angel.co/company/1world-1,Redwood City,Polling,1World Online,"
We combine Native Advertising and Research on Blockchain
","$7,280,000",1-10,Series A,1worldonline.com
7,13845,Aug ’14,Startup,https://angel.co/company/21,San Francisco,Bitcoin,21,"
Replace your public email with an inbox that pays you at 21.co
","$116,000,000",11-50,Seed,21.co
8,5108,Sep ’13,Startup,https://angel.co/company/24sessions,Amsterdam,Developer APIs,24sessions,"
Human Advice. Delivered Online.
","$135,000",11-50,Seed,24sessions.com
9,7231,Feb ’16,Startup,https://angel.co/company/2morrow,Seattle,B2B,2Morrow,"
Clinically Proven Digital Therapeutic (Behavior Change)
","$350,000",11-50,Seed,2morrowinc.com
10,12368,Sep ’12,Startup,https://angel.co/company/2gether-app,Barcelona,Mobile Commerce,2gether app,"
Comunicate, organize and have fun with your partner
","$55,000",1-10,Seed,2getherapp.com
11,5539,Dec ’12,Startup,https://angel.co/company/30-second-showcase,New York City,Apps,30 Second Showcase,"
Visual Introductions for Every Situation.
","$25,000",1-10,Seed,30secondshowcase.com
12,11498,Oct ’14,Startup,https://angel.co/company/360alumni-1,Ridgefield,Nonprofits,360Alumni,"
360Alumni Turns Alumni Directories into Revenue-generating Communities.
","$600,000",1-10,Seed,360alumni.com
13,7651,Feb ’14,Startup,https://angel.co/company/37coins,Sunnyvale,Banking,37coins,"
Bitcoin Wallet  for Everyone
","$25,000",1-10,Seed,37coins.com
14,1090,May ’13,Startup,https://angel.co/company/3d-hubs,Amsterdam,Manufacturing,3D Hubs,"
World's largest network of manufacturing services. 
","$11,500,000",51-200,Series B,3dhubs.com
15,12148,May ’13,Startup,https://angel.co/company/3gear-systems,San Francisco,Consumer Electronics,3Gear Systems,"
The ""Minority Report"" User Interface at your desk
","$2,250,000",1-10,Acquired,threegear.com
16,13371,Jun ’11,Startup,https://angel.co/company/3scale,San Francisco,Developer APIs,3scale,"
Unlock the power of your APIs.
","$5,000,000",11-50,Acquired,3scale.net
17,11539,Dec ’13,Startup,https://angel.co/company/4n-media-group,Paris,Language Learning,4n Media Group,"
Learn Languages with Media
","$450,000",-,Seed,4nmedia.com
18,2163,May ’10,Startup,https://angel.co/company/500friends,San Francisco,Loyalty Programs,500friends,"
Enabling retailers to increase customer LTV
","$12,150,000",11-50,Acquired,500friends.com
19,10963,Apr ’15,Startup,https://angel.co/company/5miles-1,Dallas,,5miles,"
Your Mobile Marketplace
","$30,000,000",11-50,,5milesapp.com
20,3106,May ’13,Startup,https://angel.co/company/7-generation-games,Santa Monica,Mobile Games,7 Generation Games,"
We make games that make you smarter. 
","$1,677,362",1-10,,7generationgames.com
21,4450,Aug ’13,Startup,https://angel.co/company/7shifts,Regina,Hospitality,7shifts,"
Restaurant Employee Scheduling + Communication
","$11,450,000",1-10,Series A,7shifts.com
22,4661,Feb ’13,Startup,https://angel.co/company/800razors-com-1,Boca Raton,E-Commerce,800razors.com,"
The Best Shave at the Best Price. Guaranteed!
","$100,000",1-10,Series A,800razors.com
23,3191,Feb ’14,Startup,https://angel.co/company/8fit,Berlin,Fitness,8fit,"
Building healthy habits for life.
","$9,500,000",51-200,Series A,8fit.com
24,12901,Sep ’13,Startup,https://angel.co/company/99taxis,Brazil,Location Based Services,99,"
Best app to call taxis in Brazil
","$100,000,000",201-500,,99taxis.com
25,13395,Oct ’12,Startup,https://angel.co/company/9lenses,Washington DC,SaaS,9Lenses,"
Organizational Intelligence Platform: Collect, Connect, and Quantify Human Insights
","$4,100,000",11-50,Series A,9lenses.com
26,3476,Dec ’10,Startup,https://angel.co/company/9slides,Seattle,B2B,9slides,"
Zendesk for Training
","$1,500,000",1-10,Acquired,9slides.com
27,9153,Apr ’13,Startup,https://angel.co/company/pay,Albuquerque,Mobile Payments,"@Pay - Mobile Payments, simplified.","
Secure 2-click checkout for email and the web. Works with any wallet, merchant, processor.
","$3,500,000",1-10,Seed,atpay.com
28,10982,Mar ’14,Startup,https://angel.co/company/ab-tasty,Paris,Optimization,AB Tasty,"
A/B testing, personalisation and user engagement
","$22,431,750",51-200,Series B,abtasty.com
29,608,Aug ’14,Startup,https://angel.co/company/act-md,Boston,Health Care Information Technology,ACT.md,"
Act together. Make health happen.
","$8,400,000",11-50,Series A,act.md
30,12367,Apr ’12,Startup,https://angel.co/company/adam-eve,Hamburg,User Experience Design,ADAM &amp; EVE,"
﻿ADAM & EVE is an innovative flirt game.
","$66,000",1-10,Seed,ico-online.com
31,2995,Jun ’12,Startup,https://angel.co/company/adstruc,New York City,Outdoor Advertising,ADstruc,"
The leading technology services company for the outdoor advertising industry.
","$3,118,000",11-50,,adstruc.com
32,11380,Oct ’14,Startup,https://angel.co/company/aet-hosting-solutions,Arlington,Nonprofits,AET Hosting Solutions,"
Managed hosting solutions for start-ups, small businesses, and non-profits..
","$3,000,000",11-50,Seed,aethosting.com
33,438,Nov ’12,Startup,https://angel.co/company/agile-customer-insight,London,Retail Technology,AGILE customer insight,"
Big data for small retailers
","$640,000",-,Seed,agile.ci
34,4799,Nov ’14,Startup,https://angel.co/company/alice-12,New York City,Hospitality,ALICE,"
Hospitality operations platform for all staff communication and guest requests
","$39,000,000",51-200,Series B,aliceplatform.com
35,447,Sep ’14,Startup,https://angel.co/company/apimatic,Islamabad Capital Territory,Developer APIs,APIMATIC,"
Developer Experience Kits for APIs
","$850,000",11-50,Seed,apimatic.io
36,429,Oct ’13,Startup,https://angel.co/company/apimetrics-1,Seattle,Test and Measurement,APImetrics,"
API, Cloud Service, SLA monitoring and analysis that gives you answers, not excuses.
","$1,000,000",1-10,Seed,apimetrics.io
37,66,Sep ’12,Startup,https://angel.co/company/appcitylife,Albuquerque,Mobile Coupons,APPCityLife,"
Connecting People and Cities
","$431,162",1-10,,appcitylife.com
38,2312,Dec ’12,Startup,https://angel.co/company/apprl,Stockholm,Native Advertising,APPRL,"
The Commerce Tool for Style Influencers
","$470,000",1-10,Seed,apprl.com
39,2671,Jul ’13,Startup,https://angel.co/company/aproofed,Cleveland,University Students,APROOFED,"
Document & Resume Editing Marketplace
","$20,000",1-10,Seed,aproofed.com
40,7020,Mar ’13,Startup,https://angel.co/company/apx-labs,Washington DC,Augmented Reality,APX Labs,"
Software platform for Smart Glasses
","$23,000,000",11-50,Series A,apx-labs.com
41,12423,Sep ’14,Startup,https://angel.co/company/arquest,Kyivs'ka oblast,Location Based Services,ARQuest,"
Next-generation city adventures
","$30,000",1-10,Seed,ar-quest.com
42,3997,Apr ’11,Startup,https://angel.co/company/academia-edu,San Francisco,Digital Publishing,Academia,"
Accelerating the world's research
","$33,800,000",11-50,Series C,academia.edu
43,11290,Jun ’13,Startup,https://angel.co/company/academixdirect-1,Mountain View,College Recruiting,AcademixDirect,"
","$10,000,000",11-50,Series A,academixdirect.com
44,12791,Mar ’13,Startup,https://angel.co/company/accel-diagnostics,Berkeley,Medical Devices,Accel Diagnostics,"
Diagnostic tests at your fingertips
","$650,000",-,Seed,acceldx.com
45,12722,Mar ’14,Startup,https://angel.co/company/accel-diagnostics-2,Berkeley,Diagnostics,Accel Diagnostics,"
Blood Tests Made Easy - Anytime, Anywhere - for Better Patient Care
","$1,175,000",1-10,Seed,acceldx.com
46,13809,Jul ’14,Startup,https://angel.co/company/accela-1,Singapore,Human Resources,Accela,"
Created by Start-up Founders for Start-up Founders
","$143,500,000",,,accela.asia
47,5142,Mar ’12,Startup,https://angel.co/company/acclaimd,Columbus,Social Recruiting,Acclaimd,"
Social Media Marketing Tools for Recruiters
","$90,000",1-10,Acquired,acclaimd.com
48,12865,Apr ’14,Startup,https://angel.co/company/accompany,Los Altos,Contact Management,Accompany,"
","$305,000,000",11-50,Acquired,accompany.com
49,2907,Feb ’14,Startup,https://angel.co/company/accomplice,San Francisco,Advertising Platforms,Accomplice,"
Better ad results, automatically.
","$7,000,000",11-50,Series A,accomplice.io
50,2627,May ’13,Startup,https://angel.co/company/accredible,San Francisco,Universities,Accredible,"
Certificates & Badges for the Information Age
","$150,000",11-50,-,accredible.com
51,3143,Dec ’13,Startup,https://angel.co/company/ace-roster,New York City,Fantasy Sports,Ace Roster // فريقك,"
Competitive Online Football (Soccer) Gaming Platform
","$82,353",1-10,Seed,fariqak.com
