,joined,kind,link,location,market,name,pitch,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
0,2013-10-01,Startup,https://angel.co/company/urx,San Francisco,Mobile Commerce,,"
The Deeplink Search Engine, For Developers (YC S13)
",15100000,11-50,Acquired,urx.com,6.208219178082191,2432259.488084731,1,1,25.0
1,2012-05-01,Startup,https://angel.co/company/ginx,Las Vegas,Mobile Commerce,*Ginx,"
Image based marketing and analytics 
",700000,1-10,Seed,ginxapp.com,7.627397260273972,91774.42528735632,0,0,5.0
2,2011-09-01,Startup,https://angel.co/company/1-page,San Francisco,SaaS,1-Page,"
Next Generation Enterprise Recruitment Process
",163000000,11-50,IPO,1-page.com,8.293150684931506,19654773.703336637,1,1,25.0
3,2012-04-01,Startup,https://angel.co/company/121nexus,Cambridge,Politics,121nexus,"
The information platform for physical things.
",794000,1-10,-,121nexus.com,7.7095890410958905,102988.62828713575,0,0,5.0
4,2013-11-01,Startup,https://angel.co/company/1234enter,São Paulo,Small and Medium Businesses,1234ENTER,"
Automated digital marketing guidance for Small and Medium Businesses
",650267,1-10,,1234enter.com.br,6.123287671232877,106195.7293064877,0,0,5.0
5,2013-03-01,Startup,https://angel.co/company/1newtrack-com,Kyivs'ka oblast,Video Streaming,1NewTrack.com,"
Discover 1 new track per day, personally selected according to your tastes
",70001,1-10,-,1NewTrack.com,6.794520547945205,10302.566532258064,0,0,5.0
6,2012-10-01,Startup,https://angel.co/company/1world-1,Redwood City,Polling,1World Online,"
We combine Native Advertising and Research on Blockchain
",7280000,1-10,Series A,1worldonline.com,7.208219178082191,1009958.1908019765,1,0,5.0
7,2014-08-01,Startup,https://angel.co/company/21,San Francisco,Bitcoin,21,"
Replace your public email with an inbox that pays you at 21.co
",116000000,11-50,Seed,21.co,5.375342465753425,21580020.387359835,1,1,25.0
8,2013-09-01,Startup,https://angel.co/company/24sessions,Amsterdam,Developer APIs,24sessions,"
Human Advice. Delivered Online.
",135000,11-50,Seed,24sessions.com,6.2904109589041095,21461.23693379791,0,0,25.0
9,2016-02-01,Startup,https://angel.co/company/2morrow,Seattle,B2B,2Morrow,"
Clinically Proven Digital Therapeutic (Behavior Change)
",350000,11-50,Seed,2morrowinc.com,3.871232876712329,90410.47416843595,0,0,25.0
